"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id
","type
","order id","Sku","description
","quantity","marketplace
","account type","fulfillment","order city
","order state
","order postal
","product sales
","shipping credits
","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees
","fba fees
","other transaction fees
","other
","total
"
"25 Jan 2022 9:41:37 am UTC","17043485052","Order
","408-2404132-1129125","79-D471-3M49","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Chennai","TAMIL NADU","600077","567.62","76.20","-76.20","28.38","0","0","-5.68","0","-14.07","-97.94","-28.32","0","449.99"
"25 Jan 2022 9:41:49 am UTC","17043485052","Order
","407-2812315-3993937","79-D471-3M49","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GUNTUR","ANDHRA PRADESH","522330","283.81","0","0","14.19","0","0","-2.84","0","-7.03","-84.96","-14.16","0","189.01"
"25 Jan 2022 9:41:52 am UTC","17043485052","Order
","406-2199704-6567562","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","10","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400025","2,371.40","0","0","118.60","0","0","-23.70","0","-58.76","-271.40","-94.40","0","2,041.74"
"25 Jan 2022 9:42:08 am UTC","17036111682","Order
","404-5764614-3454769","79-D471-3M49","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NEW DELHI","DELHI","110006","283.81","0","0","14.19","0","0","-2.84","0","-7.03","-84.96","-14.16","0","189.01"
"25 Jan 2022 9:42:14 am UTC","17043485052","Order
","407-5787972-0162703","79-D471-3M49","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400088","283.81","0","0","14.19","0","0","-2.84","0","-7.03","-60.18","-14.16","0","213.79"
"25 Jan 2022 9:42:18 am UTC","17043485052","Order
","402-7422857-6035512","79-D471-3M49","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THIRUVANANTHAPURAM","KERALA","695002","283.81","0","0","14.19","0","0","-2.84","0","-7.03","-84.96","-14.16","0","189.01"
"25 Jan 2022 9:57:31 am UTC","17043485052","Order
","408-3400469-5205945","PA-RJWA-YYQR","Pehel International Dishcloth Cellulose Sponge Cloths, Eco-Friendly No Odor Reusable Cleaning Cloths for Kitchen - Absorbent Dish Cloth Hand Towel (As","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560055","253.39","0","0","45.61","0","0","-2.53","0","-7.06","-84.96","-14.16","0","190.29"
"25 Jan 2022 10:43:08 am UTC","17043485052","Refund
","408-9293764-4640334","1K-DVUB-3C2R","Pehel International Reusable Washable cotton Gloves (Pack Of 10)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BHUBANESWAR","ODISHA","751007","-94.29","0","0","-4.71","0","0","0.94","0","1.87","0","9.44","0","-86.75"
"25 Jan 2022 1:47:54 pm UTC","17043485052","Refund
","404-0066989-1008363","0N-KC8L-FR5J","Safety Products Net Reflective Jacket (Green, 2"" Radium Type, Medium)","4","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NEW DELHI","DELHI","110095","-246.44","0","0","-29.56","0","0","2.48","0","5.21","0","37.76","0","-230.55"
"25 Jan 2022 3:50:00 pm UTC","17036111682","Refund
","406-2714053-3440360","YJ-JER8-MKPQ","PEHEL INTERNATIONAL | Unisex Cotton Reusable Gloves | Hand Protection Multi-Purpose Gloves | Ideal for Gardening, Kitchen and Daily Routine Activities","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KUKSHI","MADHYA PRADESH","454331","0","-38.10","0","-1.90","0","0","0.38","0","0","40.00","0","0","0.38"
