# Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions
# All amounts in INR, unless specified
# Definitions:
# Total sales tax liable: Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap.
# TCS-CGST: Tax Collected at Source from Central GST
# TCS-SGST: Tax Collected at Source from State GST
# TCS-IGST: Tax Collected at Source from Integrated GST
# TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961
# Selling fees: Includes variable closing fees and referral fees.
# Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees
"date/time","settlement id","total"
"date/time","settlement id",
"type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"15 Mar 2022 9:25:00 am UTC","17359545292","Order
","407-2176335-4021139","UU-MH4Z-8VJU","Latex Medical Examination Disposable Hand Gloves, White, Large (Pack of 50 Pcs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500083","141.96","0","0","17.04","0","0","-1.42","0","-3.75","0","-9.44","0","144.39"
"15 Mar 2022 9:25:08 am UTC","17293855272","Order
","402-8437408-2404358","RT-G1AB-5V7C","Comfitwear Disposable Latex Gloves, Powder-Free Size Large, 100 gloves per box","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","JHUMRI TILAIYA","JHARKHAND","825409","380.00","0","0","19.00","0","0","-3.80","0","-25.90","0","-14.16","0","355.14"
"15 Mar 2022 9:25:26 am UTC","17359545292","Order
","403-7562600-5321930","NN-CE3J-WII2","Pehel International ® Unisex Disposable Bouffant Cap (Blue) -100 Pieces","8","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500084","754.32","0","0","37.68","0","0","-7.52","0","-18.74","0","-75.52","0","690.22"
"15 Mar 2022 9:26:01 am UTC","17359545292","Order
","405-9822402-9035530","AM-YQT8-F5EX","HEISHI Unisex Cotton Reusable Gloves (White, Set of 5 Pairs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VARANASI","UTTAR PRADESH","221002","237.14","0","0","11.86","0","0","-2.37","0","-5.88","-84.96","-9.44","0","146.35"
"15 Mar 2022 9:26:46 am UTC","17359545292","Order
","402-9726201-3822755","C3-HD8B-8E2Y","Pehel International | Reusable Natural Latex Safety Gloves | for Washing, Cleaning, Kitchen, Garden, Sanitation & Other Daily uses, Yellow Color | Pac","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BAREILLY","UTTAR PRADESH","243003","253.39","33.90","-33.90","45.61","0","0","-2.53","0","-7.06","-84.96","-14.16","0","190.29"
"15 Mar 2022 9:53:46 am UTC","17359545292","Transfer
","","","To account ending with: ","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-134.16","-134.16"
"16 Mar 2022 1:11:19 am UTC","17359545292","Refund
","171-8434109-8121918","C3-HD8B-8E1Y","Pehel International ® Reusable Natural Latex Safety Gloves for Washing, Cleaning, Kitchen, Garden, Sanitation & Daily uses, Yellow - Set of 2 Pair.","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KUMARAPURAM","KERALA","690514","0","-35.71","0","-4.29","0","0","0.36","0","0","40.00","0","0","0.36"
"16 Mar 2022 4:41:35 am UTC","17293855272","Tax Withheld","","","TDS - Section 194-O - Tue Mar 15 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-3.80","0","0","0","0","-3.80"
"16 Mar 2022 5:16:28 am UTC","17359545292","Tax Withheld","","","TDS - Section 194-O - Tue Mar 15 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-13.87","0","0","0","0","-13.87"
"16 Mar 2022 9:01:21 am UTC","17359545292","Shipping Services
","404-6174676-2568365","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"16 Mar 2022 9:01:24 am UTC","17293855272","Shipping Services
","402-0511508-6086740","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"16 Mar 2022 9:01:38 am UTC","17293855272","Shipping Services
","402-9844199-5005909","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"16 Mar 2022 9:01:48 am UTC","17359545292","Shipping Services
","407-6694866-1914745","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"16 Mar 2022 9:01:51 am UTC","17359545292","Shipping Services
","402-7342546-0482708","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"16 Mar 2022 9:02:04 am UTC","17359545292","Shipping Services
","171-2787110-3107524","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"16 Mar 2022 9:09:43 am UTC","17359545292","Shipping Services
","171-9838176-6100357","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"16 Mar 2022 9:17:02 am UTC","17359545292","Order
","171-2787110-3107524","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","JAIPUR","RAJASTHAN","302039","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"16 Mar 2022 9:17:04 am UTC","17293855272","Order
","402-9844199-5005909","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","RAIPUR","CHHATTISGARH","492001","711.42","0","0","35.58","0","0","-7.11","0","-17.64","0","-28.32","0","693.93"
"16 Mar 2022 9:17:08 am UTC","17359545292","Order
","404-6174676-2568365","WS-X25N-FBML","Wellness Pulse Respirometer Three Ball Deep Breathing Lung Exerciser for Adults, White, Pack of 1.","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLKATA","WEST BENGAL","700027","361.90","0","0","18.10","0","0","-3.62","0","-8.97","0","-18.88","0","348.53"
"16 Mar 2022 9:17:25 am UTC","17359545292","Order
","407-6694866-1914745","0N-KC8L-FR5J","Safety Products Net Reflective Jacket (Green, 2"" Radium Type, Medium)","12","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Narasapura Industrial Area","KARNATAKA","563133","739.32","0","0","88.68","0","0","-7.44","0","-19.61","0","-113.28","0","687.67"
"16 Mar 2022 9:17:41 am UTC","17359545292","Order
","402-7342546-0482708","8H-ZNSD-WJN5","Pehel International resuable and washable Sponge Wipes with super absorbant biodegradable cellulose material for kitchen and home cleaning (Multicolor","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560001","252.54","0","0","45.46","0","0","-2.52","0","-7.03","0","-18.88","0","269.57"
"16 Mar 2022 9:17:50 am UTC","17293855272","Order
","402-0511508-6086740","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","COIMBATORE","TAMIL NADU","641014","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"16 Mar 2022 9:25:48 am UTC","17359545292","Order
","171-9838176-6100357","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","JAIPUR","RAJASTHAN","302039","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"16 Mar 2022 9:32:03 am UTC","17293855272","Order
","171-1623800-7994756","C3-HD8B-8E1Y","Pehel International ® Reusable Natural Latex Safety Gloves for Washing, Cleaning, Kitchen, Garden, Sanitation & Daily uses, Yellow - Set of 2 Pair.","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NEW DELHI","DELHI","110024","177.68","0","0","21.32","0","0","-1.78","0","-4.70","-84.96","-9.44","0","98.12"
"17 Mar 2022 4:42:05 am UTC","17359545292","Tax Withheld","","","TDS - Section 194-O - Wed Mar 16 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-18.28","0","0","0","0","-18.28"
"17 Mar 2022 5:10:53 am UTC","17293855272","Tax Withheld","","","TDS - Section 194-O - Wed Mar 16 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-11.26","0","0","0","0","-11.26"
"17 Mar 2022 8:56:02 am UTC","17293855272","Shipping Services
","404-6628185-8625958","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"17 Mar 2022 8:56:02 am UTC","17293855272","Shipping Services
","171-0869126-6693939","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"17 Mar 2022 8:56:31 am UTC","17359545292","Shipping Services
","407-9469868-7137914","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"17 Mar 2022 8:56:54 am UTC","17359545292","Shipping Services
","406-1148828-6117963","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"17 Mar 2022 9:11:17 am UTC","17359545292","Shipping Services
","171-2682429-2645117","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"17 Mar 2022 9:11:41 am UTC","17293855272","Order
","404-6628185-8625958","KT-YR1D-ZWC8","SurgiMax Latex Examination Gloves 100 Pcs Box (Medium)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","PONDICHERRY","PUDUCHERRY","605005","332.38","0","0","16.62","0","0","-3.32","0","-32.95","0","-14.16","0","298.57"
"17 Mar 2022 9:11:52 am UTC","17359545292","Shipping Services
","404-9893331-3973929","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"17 Mar 2022 9:12:08 am UTC","17293855272","Shipping Services
","405-8366413-7425952","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"17 Mar 2022 9:12:11 am UTC","17359545292","Order
","407-9469868-7137914","5E-I40E-UGAC","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLKATA","WEST BENGAL","700055","415.26","0","0","74.74","0","0","-4.16","0","-11.56","0","-18.88","0","455.40"
"17 Mar 2022 9:12:15 am UTC","17359545292","Order
","406-1148828-6117963","KT-YR1D-ZWC8","SurgiMax Latex Examination Gloves 100 Pcs Box (Medium)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHENNAI","TAMIL NADU","601203","332.38","0","0","16.62","0","0","-3.32","0","-32.95","0","-14.16","0","298.57"
"17 Mar 2022 9:12:21 am UTC","17293855272","Order
","171-0869126-6693939","3C-9BLT-UKV8","PROCARE Disposable Latex Medical Examination Gloves (Medium, 100 Pieces, White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400028","237.14","0","0","11.86","0","0","-2.37","0","-5.88","0","-9.44","0","231.31"
"17 Mar 2022 9:27:25 am UTC","17359545292","Order
","171-2682429-2645117","X2-Z9Q9-D8NB","Crown Pharma - Deep Breathing Lung Exerciser - 3 Balls Incentive Spirometer, White for Adults, Pack of 1.","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GURUGRAM","HARYANA","122003","353.58","0","0","42.42","0","0","-3.54","0","-9.35","0","-18.88","0","364.23"
"17 Mar 2022 9:27:45 am UTC","17359545292","Order
","404-9893331-3973929","RT-G1AB-5V7C","Comfitwear Disposable Latex Gloves, Powder-Free Size Large, 100 gloves per box","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHENNAI","TAMIL NADU","600028","760.00","0","0","38.00","0","0","-7.60","0","-51.80","0","-28.32","0","710.28"
"17 Mar 2022 9:27:47 am UTC","17293855272","Order
","405-8366413-7425952","NM-8PT8-XDXF","Pehel International Black Bouffant Cap 100 Pcs","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","COIMBATORE-641014","TAMIL NADU","641014","438.10","0","0","21.90","0","0","-4.38","0","-10.86","0","-18.88","0","425.88"
"18 Mar 2022 4:58:41 am UTC","17342365002","Tax Withheld","","","TDS - Section 194-O - Thu Mar 17 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-10.08","0","0","0","0","-10.08"
"18 Mar 2022 5:21:07 am UTC","17359545292","Tax Withheld","","","TDS - Section 194-O - Thu Mar 17 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-18.61","0","0","0","0","-18.61"
"18 Mar 2022 6:24:08 am UTC","17359545292","Shipping Services
","406-6649481-5077150","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 6:24:11 am UTC","17342365002","Shipping Services
","406-4685225-6524342","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 6:24:15 am UTC","17359545292","Shipping Services
","171-6230055-9322704","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 6:24:18 am UTC","17359545292","Shipping Services
","406-3604962-2880319","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-47.20","0","-47.20"
"18 Mar 2022 6:24:18 am UTC","17342365002","Shipping Services
","171-7498998-5308326","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-47.20","0","-47.20"
"18 Mar 2022 6:24:18 am UTC","17359545292","Shipping Services
","402-4243685-1296307","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 6:24:33 am UTC","17342365002","Shipping Services
","402-9485240-5757920","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 6:24:52 am UTC","17342365002","Shipping Services
","403-3576180-7255530","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 6:24:56 am UTC","17342365002","Shipping Services
","403-9288794-2237909","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 6:39:52 am UTC","17359545292","Order
","402-4243685-1296307","KJ-5HUM-Q54A","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","GURGAON","HARYANA","122002","247.32","0","0","29.68","0","0","-2.47","0","-6.54","0","-14.16","0","253.83"
"18 Mar 2022 6:39:56 am UTC","17359545292","Order
","406-3604962-2880319","UU-MH4Z-8VJU","Latex Medical Examination Disposable Hand Gloves, White, Large (Pack of 50 Pcs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","AHMEDABAD","GUJARAT","382426","141.96","0","0","17.04","-0.71","-0.71","0","0","-3.75","0","-9.44","0","144.39"
"18 Mar 2022 6:39:59 am UTC","17342365002","Order
","402-9485240-5757920","KJ-5HUM-Q54A","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","PUDUPATTINAM","TAMIL NADU","603102","247.32","0","0","29.68","0","0","-2.47","0","-6.54","0","-14.16","0","253.83"
"18 Mar 2022 6:40:02 am UTC","17342365002","Order
","406-4685225-6524342","KJ-5HUM-Q54A","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","TIRUCHIRAPPALLI","TAMIL NADU","620004","247.32","0","0","29.68","0","0","-2.47","0","-6.54","0","-14.16","0","253.83"
"18 Mar 2022 6:40:05 am UTC","17342365002","Order
","403-3576180-7255530","3B-SEE4-QY9J","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MYSURU","KARNATAKA","570019","247.32","0","0","29.68","0","0","-2.47","0","-6.54","0","-14.16","0","253.83"
"18 Mar 2022 6:40:06 am UTC","17342365002","Order
","171-7498998-5308326","W4-BCML-II6W","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","AHMEDABAD","GUJARAT","382415","380.00","0","0","19.00","-1.90","-1.90","0","0","-42.37","0","-14.16","0","338.67"
"18 Mar 2022 6:40:22 am UTC","17342365002","Order
","403-9288794-2237909","3Q-9W5Z-X2RP","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","JIND","HARYANA","126102","292.37","0","0","52.63","0","0","-2.92","0","-56.99","0","-14.16","0","270.93"
"18 Mar 2022 6:40:31 am UTC","17359545292","Order
","406-6649481-5077150","3B-SEE4-QY9J","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","3","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHENNAI","TAMIL NADU","600078","741.96","0","0","89.04","0","0","-7.41","0","-19.62","0","-42.48","0","761.49"
"18 Mar 2022 6:40:38 am UTC","17359545292","Order
","171-6230055-9322704","NM-8PT8-XDXF","Pehel International Black Bouffant Cap 100 Pcs","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","kolkata","WEST BENGAL","700078","219.05","0","0","10.95","0","0","-2.19","0","-5.43","0","-9.44","0","212.94"
"18 Mar 2022 7:08:00 am UTC","17342365002","Shipping Services
","404-3930026-4371550","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 7:23:16 am UTC","17342365002","Order
","404-3930026-4371550","KJ-5HUM-Q54A","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GUNTUR","ANDHRA PRADESH","522007","247.32","0","0","29.68","0","0","-2.47","0","-6.54","0","-14.16","0","253.83"
"18 Mar 2022 7:56:45 am UTC","17342365002","Shipping Services
","408-2429250-8425166","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"18 Mar 2022 8:12:00 am UTC","17342365002","Order
","408-2429250-8425166","3B-SEE4-QY9J","Medicure Premium Latex Gloves - Medium Sized - 100 pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","PALACOLE","ANDHRA PRADESH","534260","247.32","0","0","29.68","0","0","-2.47","0","-6.54","0","-14.16","0","253.83"
"18 Mar 2022 8:02:34 pm UTC","17359545292","Refund
","403-7562600-5321930","NN-CE3J-WII2","Pehel International ® Unisex Disposable Bouffant Cap (Blue) -100 Pieces","8","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500084","-754.32","0","0","-37.68","0","0","7.52","0","14.99","0","75.52","0","-693.97"
"19 Mar 2022 3:05:34 am UTC","17342365002","Reimbursements","403-1012982-0871513","0N-KC8L-FR5J","Reimbursement issued for lost or damaged package","12","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","404.33","404.33"
"19 Mar 2022 3:07:49 am UTC","17342365002","Reimbursements","408-0410830-0668336","JG-L67I-52WR","Reimbursement issued for lost or damaged package","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","199.54","199.54"
"19 Mar 2022 3:22:40 am UTC","17342365002","Reimbursements","405-7096641-6246761","8H-ZNSD-WJN5","Reimbursement issued for lost or damaged package","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","113.31","113.31"
"19 Mar 2022 4:46:41 am UTC","17359545292","Tax Withheld","","","TDS - Section 194-O - Fri Mar 18 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-13.50","0","0","0","0","-13.50"
"19 Mar 2022 4:51:14 am UTC","17342365002","Tax Withheld","","","TDS - Section 194-O - Fri Mar 18 00:00:00 UTC 2022","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","-19.09","0","0","0","0","-19.09"
"19 Mar 2022 8:04:44 am UTC","17359545292","Refund
","407-2176335-4021139","UU-MH4Z-8VJU","Latex Medical Examination Disposable Hand Gloves, White, Large (Pack of 50 Pcs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","HYDERABAD","TELANGANA","500083","-141.96","0","0","-17.04","0","0","1.42","0","2.99","0","9.44","0","-145.15"
"19 Mar 2022 8:54:44 am UTC","17342365002","Shipping Services
","403-0028088-9667578","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"19 Mar 2022 8:54:47 am UTC","17342365002","Shipping Services
","403-3178149-5254716","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"19 Mar 2022 8:54:47 am UTC","17359545292","Shipping Services
","405-5216574-0153943","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"19 Mar 2022 8:54:51 am UTC","17359545292","Shipping Services
","171-0538695-4448339","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"19 Mar 2022 8:54:54 am UTC","17359545292","Shipping Services
","402-1985200-5319511","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"19 Mar 2022 8:55:00 am UTC","17342365002","Shipping Services
","408-1100779-3621141","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"19 Mar 2022 8:55:03 am UTC","17359545292","Shipping Services
","403-3037641-8782758","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-80.24","0","-80.24"
"19 Mar 2022 8:55:03 am UTC","17359545292","Shipping Services
","171-3720806-3320357","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-80.24","0","-80.24"
"19 Mar 2022 8:55:06 am UTC","17359545292","Shipping Services
","406-6966126-6174759","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"19 Mar 2022 8:55:06 am UTC","17359545292","Shipping Services
","408-4795909-7037118","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"19 Mar 2022 8:55:06 am UTC","17359545292","Shipping Services
","405-1536397-7535546","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-80.24","0","-80.24"
"19 Mar 2022 8:55:10 am UTC","17342365002","Shipping Services
","403-8043523-4892305","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-80.24","0","-80.24"
"19 Mar 2022 8:55:16 am UTC","17359545292","Shipping Services
","403-7408413-4615531","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-80.24","0","-80.24"
"19 Mar 2022 8:55:16 am UTC","17359545292","Shipping Services
","403-3620831-3909916","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
"19 Mar 2022 8:55:22 am UTC","17359545292","Shipping Services
","406-8319063-7755535","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-114.46","0","-114.46"
