# Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions
# All amounts in INR, unless specified
# Definitions:
# Total sales tax liable: Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap.
# TCS-CGST: Tax Collected at Source from Central GST
# TCS-SGST: Tax Collected at Source from State GST
# TCS-IGST: Tax Collected at Source from Integrated GST
# TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961
# Selling fees: Includes variable closing fees and referral fees.
# Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees
"date/time","settlement id","total"
"date/time","settlement id",
"type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"2 Mar 2022 8:57:33 am UTC","17211801822","Shipping Services
","404-2409106-6973937","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-84.96","0","-84.96"
"2 Mar 2022 9:13:09 am UTC","17211801822","Order
","404-2409106-6973937","C3-HD8B-8E3Y","Pehel International ® | Reusable Natural Latex Safety Gloves | for Washing, Cleaning, Kitchen, Garden, Sanitation & Other Daily uses, Yellow Color |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","CHENNAI","TAMIL NADU","600127","400.89","0","0","48.11","0","0","-4.01","0","-47.68","0","-14.16","0","383.15"
"2 Mar 2022 9:15:44 am UTC","17211801822","Shipping Services
","171-1781422-8505906","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-341.02","0","-341.02"
"2 Mar 2022 9:30:13 am UTC","17211801822","Order
","171-1781422-8505906","QJ-BYLE-NHCY","PEHEL INTERNATIONAL ® | Plastic Disposable Shoe Cover | Shoes, Boots, slippers Protectors | Waterproof, Non Slip Durable Covers | One Size Fits All |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NEW DELHI","DELHI","110044","1,270.34","0","0","228.66","0","0","-12.70","0","-265.32","0","-66.08","0","1,154.90"
"2 Mar 2022 4:18:55 pm UTC","17211222672","Refund
","406-9090647-3297147","W4-BCML-II6W","Pehel International Unisex Cotton Reusable Gloves Ideal for Gardening, Kitchen and Daily Routine Activities (White, Set of 10 Pairs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUZAFFARPUR","BIHAR","842002","-380.00","0","0","-19.00","0","0","3.80","0","33.90","0","14.16","0","-347.14"
"3 Mar 2022 5:09:15 am UTC","17211801822","Tax Withheld","","","TDS - Section 194-O - Wed Mar 02 00:00:00 UTC 2022","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","-16.71","0","0","0","0","-16.71"
"3 Mar 2022 6:56:06 am UTC","17211222672","Refund
","405-8277461-5599504","DV-M5JS-7A5J","Wellness Pavillion Disposable underpad, 60x90 cms, 10 Pcs/pack (Pack of 1) |Incontinence Pads, Bed Covers, Puppy Training | Thick, Super Absorbent Pro","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Kolkata","West Bengal","700075","-189.52","0","0","-9.48","0","0","1.90","0","3.76","0","9.44","0","-183.90"
"3 Mar 2022 7:13:07 am UTC","17253003812","Transfer
","","","To account ending with: ","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,047.34","-1,047.34"
"3 Mar 2022 8:52:25 am UTC","17253003812","Shipping Services
","408-0627569-3805957","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
"3 Mar 2022 8:52:25 am UTC","17253003812","Shipping Services
","406-2107230-3950703","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18"
